Ethnicity,Ethnicity Recode,Ethnicity1,Ethnicity2,Ethnicity3,Ar-Khar,Bamar,Chin,Chinese,English,Hmone Won,Indian,Kachin,Kadu,Karin,Kayah,Kayan,Kayaw,Kayin,KaYun,Khumi,Kogno,Kokang,Kokant,La Chit,Lahu,Laishan,Lashi,Lhaovo,Lisu,Ma Nu Ma Naw,Mon,Myanmar,Naga,NgautChan,Palaung,Pa-O,Rakhine,Rawang,Shan,Ta-Arng,Taung Tha,Thet,Wa,Zomi
KaYun- Shan,KaYun-Shan,KaYun,Shan,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Khumi (Chin),Chin-Khumi,Chin,Khumi,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Khumi(Chin),Chin-Khumi,Chin,Khumi,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kokang,Kokang,Kokang,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kokant,Kokant,Kokant,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Kongno(Chin),Chin-Kongno,Chin,Kogno,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
La Chit,La Chit,La Chit,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lahu,Lahu,Lahu,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Laishan,Laishan,Laishan,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Lashi (kachin),Kachin-Lashi,Kachin,Lashi,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
